,location,topics,author,title
0,Ministry,Ministry,"Elmer Towns, Ed Stetzer, Warren Bird","11 Innovations in the Local Church: How Today's Leaders Can Learn, Discern and Move into the Future"
1,Christian Living,Christian Living,Max Lucado,3:16: The Numbers of Hope
2,Ministry,Ministry,Steven James,30 New Testament QuickSkits for Kids
3,Ministry,Ministry,Steven James,30 Old Testament QuickSkits for Kids
4,Prayer,"Prayer, Devotional","Ruth Myers, Warren Myers",31 Days of Praise: Enjoying God Anew
5,Men's,Men's,Bill McCartney,4th and Goal for Dads
6,Biography,Biography,Elisabeth Elliot,A Chance to Die: The Life and Legacy of Amy Carmichael
7,Christian Living,Christian Living,"Catherine Marshall, Leonard E. Lesourd",A Closer Walk: A Spiritual Lifeline to God
8,Commentary,Commentary,Walter Bruggemann,A Commentary on Jeremiah: Exile and Homecoming
9,Christian Living,Christian Living,David Gregory,A Day with a Perfect Stranger
10,Biography,Biography,Bernadette Keaggy,A Deeper Shade of Grace
11,Christian Living,Christian Living,Michael Card,A Fragile Stone: The Emotional Life of Simon Peter
12,Grief,Grief,Jerry Sittser,A Grace Disguised: How the Soul Grows through Loss
13,Christian Living,Christian Living,C.S. Lewis,A Grief Observed
14,Christian Living,Christian Living,Bette Nordberg,A Guidebook For New Believers: Encouraging Words for the First 100 Days
15,Christian Living,Christian Living,Beth Moore,A Heart Like His: Intimate Reflections on the Life of David
16,Biography,"Biography, Christian Living",Louise A. Vernon,A Heart Strangely Warmed
17,Missions,"Biography, Missions",Robert Boardman,A Higher Honor
18,Christian Living,Christian Living,Bruce Wilkinson,A Life God Rewards: Why Everything You Do Today Matters Forever
19,Christian Living,Christian Living,Joni Eareckson Tada,A Lifetime of Wisdom: Embracing the Way God Heals You
20,Christian Living,Christian Living,Max Lucado,A Love Worth Giving: Living in the Overflow of God's Love
21,Missions,Missions,Paul Borthwick,A Mind For Missions: Ten Ways to Build Your World Vision
22,Christian Living,Christian Living,"Michael Breen, Walt Kallestad",A Passionate Life
23,Apologetics,Apologetics,"Scott Larson, Chris Mitchell",A Place for Skeptics: A Spiritual Journey for Those Who May Have Given Up on Church But Not on God
24,Christian Living,Christian Living,Joni Eareckson Tada,"A Place of Healing: Wrestling with the Mysteries of Suffering, Pain, and God's Sovereignty"
25,Apologetics,Apologetics,Josh McDowell,A Quest for Answers: The DaVinci Code
26,Personal Growth,Personal Growth,Lynne M. Baab,A Renewed Spirituality: Finding Fresh Paths at Midlife
27,Christian Living,Christian Living,James Emery White,A Search for the Spiritual: Exploring Real Christianity
28,Personal Growth,Personal Growth,"Luci Freed, Penny Yvonne Salazar",A Season to Heal/Help and Hope for Those Working Through Post-Abortion Stress
29,Christian Living,Christian Living,W. Phillip Keller,A Shepherd Looks at Psalm 23
30,Biography,Biography,Mother Teresa Mother Teresa,A Simple Path
31,Commentary,Commentary,S. Craig. Glickman,A Song for Lovers: Including both a New Paraphrase and a New Translation of the Song of Solomon
32,Women's,Women's,Gail Macdonald,"A Step Farther and Higher: Some Turn Back, Others Never Will"
33,Biography,Biography,"Joni Eareckson Tada, Steve Estes",A Step Further
34,Christian Living,Christian Living,Gene Edwards,A Tale of Three Kings: A Study in Brokenness
35,Missions,Missions,Tom Wells,A Vision for Missions
36,Women's,Women's,Elizabeth George,A Woman After God's Own Heart
37,Women's,Women's,Cynthia Heald,A Woman's Journey to the Heart of God
38,Christian Living,Christian Living,Rev. Andrew Murray,Abide in Christ
39,Ministry,Ministry,"Gregory A. Boyd, Paul R. Eddy",Across the Spectrum: Understanding Issues in Evangelical Theology
40,Culture,Culture,Ken Myers,All God's Children and Blue Suede Shoes: Christians and Popular Culture
41,Biography,Biography,Eric Metaxas,Amazing Grace: William Wilberforce and the Heroic Campaign to End Slavery
42,Missions,Missions,John D. Woodbridge,Ambassadors for Christ: Distinguished Representatives of the Message Throughout the World
43,Christian Living,Christian Living,"Donald B. Kraybill, Steven M. Nolt, David L. Weaver-Zercher",Amish Grace: How Forgiveness Transcended Tragedy
44,Biography,Biography,Sam Wellman,Amy Carmichael: For the Children of India
45,Worship ,Worship ,Nancy Beach,An Hour on Sunday: Creating Moments of Transformation and Wonder
46,Christian Living,Christian Living,Max Lucado,And the Angels Were Silent
47,Culture,Culture,John M. Ensor,"Answering The Call: Saving Innocent Lives, One Woman At A Time"
48,Apologetics,Apologetics,"Josh McDowell, Don Stewart",Answers to tough questions skeptics ask about the Christian faith
49,Marriage,Marriage,Walter Wangerin Jr.,As For Me And My House: Crafting Your Marriage To Last
